List Date,"Author (Last, First)",Title,Pub Date,Publisher,ISBN,Top Pick,Hall of Fame,Debut,Year-End Favorite List,Genre,Annotation,Nominator/Library,,,,,,,,,,,
2021/01,"Solomon, Rachel Lynn",The Ex Talk,1/26/2021,Berkley Jove,9780593200124,,,,,,"“Shay's lifelong dream has been to be in radio, and she's been working at a Seattle NPR station since she was 19. Ten years later, she and new wunderkind Dominic create a show around the idea that they're exes talking about relationships. The burn between Shay and Dominic is slow, intense, and HOT. Give to fans of The Kiss Quotient and The Hating Game.”","Jessica Werner, Seattle Public Library, Seattle, WA",,,,,,,,,,,
2021/01,"Tschida, Sam","Siri, Who Am I?: A Novel",1/12/2021,Quirk Books,9781683691686,,,x,,,"Mia awakes in a hospital in a gold cocktail dress, a cape covered in her blood, a head wound and her cell phone, and no memory of who she is or how she got there. She uses her Instagram account to begin to piece together her life. For readers who enjoyed Me (Kinsella) and What Alice Forgot (Moriarty).","Douglas Beatty, Baltimore County Public Library, Baltimore, MD",,,,,,,,,,,
2020/12, December 2020,,,,,,,,,,,,,,,,,,,,,,
2020/12,"Abdullah, Kia",Take It Back: A Novel,12/8/2020,St. Martin's Press,9781250273017,,,x,,,"""Jodie, a teen with facial deformities accuses four Muslim boys of raping her after a party. Jodie’s mom, her best friend, and her classmates don’t believe her. The only one who believes her is Zara Kaleel, a former high powered attorney who now works as a sexual assault advocate. For fans of The Holdout by Graham Moore and Night Swim by Megan Goldin.""","Yvonne Selander, Somerset County Public Library, Bridgewater, NJ",,,,,,,,,,,
2020/12,"Benedict, Marie",The Mystery of Mrs. Christie,12/29/2020,Sourcebooks Landmark,9781492682721,,x,,,,"“Taking the 11 days that Agatha Christie went missing in the 1920s and adding a fictional twist, Benedict produces this gem of a historical novel with psychological thriller overtones. This novel appeals on so many levels; there is much to love and discuss here.”","Douglas Beatty, Baltimore County Public Library, Baltimore, MD",,,,,,,,,,,
2020/12,"Chase, Loretta",Ten Things I Hate About the Duke: A Difficult Dukes Novel,12/1/2020,Avon,9780062457400,,,,,,"""In the second book of the Difficult Dukes series, Cassandra Pomfret, has a reputation for having strong opinions and not keeping them to herself. Lucius, the Duke of Ashmont, is a devastatingly handsome trouble maker. Let the battle of wills begin. For readers who enjoyed Sarah MacLean’s The Rules of Scoundrels series or Kate Bateman’s Bow Street Bachelors series.""","Jessica McGee, Red Wing Public Library, Red Wing, MN",,,,,,,,,,,
2020/12,"Cogman, Genevieve",The Dark Archive,12/1/2020,Ace,9781984804785,,x,,,,"“Time-traveling librarian/spy Irene Winters is having a vexatious week: dodging assassins, training a Fae intern, and contending with her dragon lover’s meddling brother. Colorful characters, a lightning pace, and a surprising revelation will please fans of Cogman’s Invisible Library series.”","Lucy M. Lockley, St. Charles City County Library, St. Peters, MO",,,,,,,,,,,
2020/12,"Cole, Alyssa",How to Catch a Queen: Runaway Royals,12/1/2020,Avon,9780062933966,,,,,,"Shanti and Sanyu are in an arranged marriage, hastily thrown together as his father the King lays dying. As they begin to work together to better the kingdom, they grow closer. Cole weaves humor into the storyline in a way that does not undercut the serious themes of political action, equity, and adaptation. And as always, Cole's female characters are driven, smart, sexy, and savvy. For fans of Talia Hibbert and Alexa Martin.”","Sarah Skrobis, Staunton Public Library, Staunton, VA",,,,,,,,,,,
2020/12,"Cousens, Sophie",This Time Next Year,12/1/2020,G.P. Putnam's Sons,9780593191200,,,x,,,"Minnie Cooper and Quinn Hamilton were born in the same hospital on January 1, 1990. After a series of missed connections, they are about to meet again on New Year’s Day 2020. This Time Next Year hits the perfect note for readers who enjoyed Bridget Jones' Diary and the original Shopaholic.","Janet Schneider, Peninsula Public Library, Lawrence, NY",,,,,,,,,,,
2020/12,"Fisher, Tarryn",The Wrong Family: A Thriller,12/29/2020,Graydon House,9781525810008,,,,,,"""The Crouches: Winnie, Nigel, and their teenage son Samuel are perfect on the outside. In reality, Winnie is controlling, Nigel is tuned out, and Samuel is a confused teen trying to forge his own identity. Juno, a former therapist who has become attracted to the Crouches' shiny veneer, gets caught up in their family drama and takes the story in a surprising direction. For fans of Ruth Ware and B. A. Paris.""","Connie Laing, Great River Regional Library, St. Cloud, MN",,,,,,,,,,,
2020/12,"Kane, Darby",Pretty Little Wife: A Novel,12/29/20,William Morrow Paperbacks,9780063016408,,,x,,,"“When Aaron doesn't show up for work and no one hears from him, an unofficial investigation begins. What secrets is Lila, his beautiful wife, keeping? The more the police discover, the more questions they have. A thriller for fans of Gone Girl and The Last Mrs. Parrish.”","Chris Markley, Kingsport Public Library, Kingsport, TN",,,,,,,,,,,
2020/12,"Macallister, Greer",The Arctic Fury: A Novel,12/1/2020,Sourcebooks Landmark,9781728215693,,,,,,"“Virginia Reeve is a take-no-prisoners adventurer and trail guide when she's asked by a mysterious benefactor to lead a group of 12 women to find the lost captain of the shipwrecked vessel ""The Franklin."" Not for the squeamish or easily offended, this thrilling read is recommended for those who enjoyed Into the Wild and In the Kingdom of Ice.”","Joy Matteson, Downers Grove Public Library, Downers Grove, IL",,,,,,,,,,,
2020/12,"Smiley, Jane",Perestroika in Paris: A Novel,12/1/2020,Knopf,9780525520351,,x,,,,"“Smiley writes the perfect book to help you escape; it’s like Charlotte’s Web for grown-ups (but no spiders die!). Lovable, charming animals--an adventurous racehorse, a lonely dog, a know-it-all raven, a pair of ducks--interact with one another and with the compassionate humans they encounter in the City of Light.”","Nancy Wiseman, Carmel Clay Public Library, Carmel, IN",,,,,,,,,,,
2020/12,"Sullivan, Sophie",Ten Rules for Faking It,12/29/2020,St. Martin's Griffin,9781250624161,,,x,,,"""Anxious Evelyn becomes a sudden podcast star and the romance she was sure was a one-way street, maybe isn’t anymore. She can’t let her nerves get in the way of happiness. Did I mention that the leading man is completely swoony? For readers who enjoyed The Roommate by Rosie Danan.""
","Emily Flynn, Berkeley County Library System",,,,,,,,,,,
2020/12,"Willberg, T. A.",Marion Lane and the Midnight Murder: A Novel,12/29/2020,Park Row,9780778389330,,,x,,,"“Marion is a new recruit of a detective agency that works undercover and under the streets of London. When she gets involved in investigating the death of one of their own agents, she is not sure who she can trust, or what forces are working against her.This is a great start to a new series that is perfect for Agatha Christie and Harry Potter fans alike.”","Sharon Layburn, South Huntington Public Library, Huntington Station, NY",,,,,,,,,,,
2020/12,"Williams, Denise",How to Fail at Flirting,12/1/2020,Berkley,9780593101902,x,,x,,,"“Naya, a straight-laced professor, meets charismatic Jake at a bar. He might check off one item on Naya's boundary-pushing to-do list—if only he wasn't in charge of defunding her department at the university. How can they balance a relationship and a professional career? For fans of The Kiss Quotient, The Wedding Date, and The Hating Game.”","Kari Bingham-Gutierrez, Olathe Public Library, Olathe, KS",,,,,,,,,,,
2020/11, November 2020,,,,,,,,,,,,,,,,,,,,,,
2020/11," March, Nev",Murder in Old Bombay,11/10/20,Minotaur Books,9781250269546,,,x,,,"“James Agnihotri has just recovered from a war injury when he reads about a “suicide” of two ladies from the university clock tower. His first interview as a new journalist is with the young husband of one of the women, who wants to know who murdered his wife and sister. The tale continues with Jim following clues, interviewing observers of the tragedy, and traveling about India. For readers who like intrigue, learning customs of another culture, and a bit of romance, along with fans of Kate Atkinson and Laurie R. King.”","Gail Christensen, Kitsap Regional Library, Bremerton, WA",,,,,,,,,,,
2020/11,"Bellefleur, Alexandria",Written in the Stars: A Novel,11/10/2020,Avon,9780063000803,,,x,,,"Darcy, a buttoned-up actuary, convinces quirky astrologer Elle to fake a relationship for a couple of months to get her brother (and Elle's new business partner) off her back. For fans of The Kiss Quotient and You Had me at Hola.","Elizabeth Gabriel, Milwaukee Public Library, Milwaukee, WI",,,,,,,,,,,
2020/11,"Evans, Danielle",The Office of Historical Corrections: A Novella and Stories,11/10/2020,Riverhead Books,9781594487330,,,,,,A novella about the first African-Americans in Wisconsin and the lives of their descendants today along with several other haunting short stories. Recommended for fans of Jodi Picoult.,"Heather McIntosh, Botetourt County Libraries, VA",,,,,,,,,,,
2020/11,"Horowitz, Anthony",Moonflower Murders: A Novel,11/10/2020,Harper,9780062955456,,x,,,,"“Retired publisher Susan Ryeland returns to London to shed light on a woman’s recent disappearance, which may be connected to a novel written by Susan’s former client. Agatha Christie fans will devour this story within a story, brimming with red herrings and deliciously devious suspects.”","KC Davis, Fairfield Woods Branch Library, Fairfield, CT",,,,,,,,,,,
