,permalink,isbn,genres
209,https://lccn.loc.gov/2018275356,9780062684561,"['Domestic fiction.', 'Domestic fiction.', 'Fiction.', 'Historical fiction.', 'Historical fiction.', 'Domestic fiction.', 'Historical fiction.', 'Historical fiction.']"
210,https://lccn.loc.gov/2020940583,9780525559474,[]
211,https://lccn.loc.gov/2016021409,9780812989885,['Domestic fiction.']
212,https://lccn.loc.gov/2014048617,9781492617891,"['Historical fiction.', 'Suspense fiction.']"
213,https://lccn.loc.gov/2015022078,9781250069177,['Mystery fiction.']
214,https://lccn.loc.gov/2016040681,9781492649359,[]
215,https://lccn.loc.gov/2018058807,9780062390011,"['Suspense fiction.', 'Mystery fiction.']"
216,https://lccn.loc.gov/2014660924,9781455586738,['Love stories.']
217,https://lccn.loc.gov/2019058284,9781594487330,[]
218,https://lccn.loc.gov/2013030138,9781250019806,"['Domestic fiction.', 'Love stories.']"
219,https://lccn.loc.gov/2020009945,9780593100837,['Love stories.']
220,https://lccn.loc.gov/2017057595,9780374123697,['Mystery fiction.']
221,https://lccn.loc.gov/2016028804,9780062491794,['Domestic fiction.']
222,https://lccn.loc.gov/2015009057,9780399160301,[]
223,https://lccn.loc.gov/2018041168,9781250200358,['Love stories.']
224,https://lccn.loc.gov/2020019319,9780062881922,"['Psychological fiction.', 'Domestic fiction.', 'Suspense fiction.']"
225,https://lccn.loc.gov/2017038361,9780374228194,"['Psychological fiction.', 'Suspense fiction.']"
226,https://lccn.loc.gov/2014903377,9781594746857,"['Science fiction.', 'Mystery fiction.']"
227,https://lccn.loc.gov/2018039473,9780525622109,['Biographical fiction.']
228,https://lccn.loc.gov/2017060169,9781250151339,[]
229,https://lccn.loc.gov/2014020225,9781400063369,[]
230,https://lccn.loc.gov/2015040137,9780804141260,[]
231,https://lccn.loc.gov/2016023538,9780143108863,['Love stories.']
232,https://lccn.loc.gov/2014042113,9780062311115,"['Suspense fiction.', 'Mystery fiction.']"
233,https://lccn.loc.gov/2013498838,9780060779634,"['Ghost stories.', 'Mystery fiction.']"
234,https://lccn.loc.gov/2016026198,9780399174490,"['Romantic suspense fiction.', 'Mystery fiction.']"
235,https://lccn.loc.gov/2017296145,9780062129383,"['Fiction.', 'Psychological fiction.', 'Suspense fiction.', 'Suspense fiction.', 'Thrillers (Fiction)', 'Psychological fiction.']"
236,https://lccn.loc.gov/2014045500,9781101875896,"['Domestic fiction.', 'Love stories.']"
237,https://lccn.loc.gov/2016018769,9780804178808,"['Suspense fiction.', 'Mystery fiction.']"
238,https://lccn.loc.gov/2015023739,9781616205027,[]
239,https://lccn.loc.gov/2015376556,9780062068514,"['Fiction.', 'Love stories.', 'Historical fiction.']"
240,https://lccn.loc.gov/2018297407,9780399562464,"['Domestic fiction.', 'Love stories.']"
241,https://lccn.loc.gov/2020002438,9780593133842,[]
242,https://lccn.loc.gov/2017277365,9780062693983,"['Autobiographies.', 'Essays.']"
243,https://lccn.loc.gov/2013023313,9780807001813,[]
244,https://lccn.loc.gov/2020304751,9780062941206,"['Chick Lit.', 'Fiction.', 'Romance fiction.', 'Love stories.', 'Romance fiction.']"
245,https://lccn.loc.gov/2017052720,9780425281314,"['Paranormal fiction.', 'Fantasy fiction.', 'Occult fiction.']"
246,https://lccn.loc.gov/2018001420,9781328473011,[]
247,https://lccn.loc.gov/2015297388,9780525429142,[]
248,https://lccn.loc.gov/2020019691,9780399182297,"['Domestic fiction.', 'Historical fiction.']"
249,https://lccn.loc.gov/2017027324,9781250106490,[]
250,https://lccn.loc.gov/2013027898,9780385344050,['Mystery fiction.']
251,https://lccn.loc.gov/2018034477,9780525511380,[]
252,https://lccn.loc.gov/2014037087,9781476798172,[]
253,https://lccn.loc.gov/2018053215,9780385541213,[]
254,https://lccn.loc.gov/2018658468,9780399586064,"['Love stories.', 'Historical fiction.']"
255,https://lccn.loc.gov/2019057269,9781524744618,[]
256,https://lccn.loc.gov/2013431133,9780061941023,['Domestic fiction.']
257,https://lccn.loc.gov/2017044857,9780399584466,['Suspense fiction.']
258,https://lccn.loc.gov/2020010400,9781250759672,['Suspense fiction.']
259,https://lccn.loc.gov/2019047191,9781250198709,[]
260,https://lccn.loc.gov/2015041725,9780062409225,['Historical fiction.']
261,https://lccn.loc.gov/2018011480,9781250191984,['Suspense fiction.']
262,https://lccn.loc.gov/2014028450,9780062127181,[]
263,https://lccn.loc.gov/2020010072,9781984881670,['Suspense fiction.']
264,https://lccn.loc.gov/2014501567,9780062306814,['Historical fiction.']
265,https://lccn.loc.gov/2019026692,9780440000174,"['Suspense fiction.', 'Mystery fiction.']"
266,https://lccn.loc.gov/2018018501,9780062663849,"['Mystery fiction.', 'Suspense fiction.']"
267,https://lccn.loc.gov/2019023840,9780525521143,['Mystery fiction.']
268,https://lccn.loc.gov/2014045502,9781101874271,['Domestic fiction.']
269,https://lccn.loc.gov/2019287283,9780525542315,"['Fiction.', 'Romance fiction.', 'Romance fiction.', 'Love stories.']"
270,https://lccn.loc.gov/2013023811,9781400069620,[]
271,https://lccn.loc.gov/2016007679,9780399165214,['Domestic fiction.']
272,https://lccn.loc.gov/2016297303,9780062290397,"['Fantasy fiction.', 'Fiction.', 'Fantasy fiction.', 'Fantasy fiction.']"
273,https://lccn.loc.gov/2019009387,9780062913487,"['Domestic fiction.', 'Humorous fiction.']"
274,https://lccn.loc.gov/2017061021,9781250154194,[]
275,https://lccn.loc.gov/2019030050,9781984879394,['Love stories.']
276,https://lccn.loc.gov/2018006314,9780425286166,"['Biographical fiction.', 'Historical fiction.']"
277,https://lccn.loc.gov/2015037876,9781250051905,"['Domestic fiction.', 'Love stories.']"
278,https://lccn.loc.gov/2013956140,9781594745263,['Horror fiction.']
279,https://lccn.loc.gov/2017017334,9780393635027,['Bildungsromans.']
280,https://lccn.loc.gov/2017486335,9780062659057,"['Detective and mystery fiction.', 'Fiction.', 'Thrillers (Fiction)', 'Suspense fiction.', 'Mystery fiction.', 'Thrillers (Fiction)', 'Detective and mystery fiction.', 'Suspense fiction.']"
281,https://lccn.loc.gov/2016055462,9781501154829,"['Psychological fiction.', 'Domestic fiction.']"
282,https://lccn.loc.gov/2019046873,9780593085431,['Love stories.']
283,https://lccn.loc.gov/2018039374,9780345540027,['Mystery fiction.']
284,https://lccn.loc.gov/2015514100,9781616149987,[]
285,https://lccn.loc.gov/2020026668,9780593132852,['Love stories.']
286,https://lccn.loc.gov/2017045149,9781250074256,[]
287,https://lccn.loc.gov/2018057817,9781984802194,['Love stories.']
288,https://lccn.loc.gov/2017299737,9780062674791,"['Paranormal romance stories.', 'Fantasy fiction.', 'Fantasy fiction.', 'Fiction.', 'Romance fiction.', 'Love stories.', 'Fantasy fiction.', 'Romance fiction.', 'Fantasy fiction.']"
289,https://lccn.loc.gov/2019033242,9780593100097,['Suspense fiction.']
290,https://lccn.loc.gov/2019050013,9780451491770,['Suspense fiction.']
291,https://lccn.loc.gov/2015037301,9780385540162,[]
292,https://lccn.loc.gov/2014019275,9781616954765,['Mystery fiction.']
293,https://lccn.loc.gov/2014034182,9780307408860,[]
294,https://lccn.loc.gov/2015008623,9780062105684,"['Mystery fiction.', 'Suspense fiction.']"
295,https://lccn.loc.gov/2012049724,9780385537629,"['Biographical fiction', 'Historical fiction']"
