,isbn,variable,value
2095,9780062200679,genre_2,
2096,9781982135706,genre_2,
2097,9781250265708,genre_2,
2098,9780399562488,genre_2,
2099,9780358023937,genre_2,
2100,9780812996548,genre_2,
2101,9780451492470,genre_2,
2102,9780062913463,genre_2,
2103,9780062890047,genre_2,
2104,9781250204448,genre_2,
2105,9780399590597,genre_2,
2106,9781984805386,genre_2,
2107,9780393652703,genre_2,
2108,9781984805683,genre_2,
2109,9781476749297,genre_2,
2110,9780062958464,genre_2,
2111,9780062963673,genre_2,
2112,9780525656159,genre_2,
2113,9780525535270,genre_2,fiction
2114,9780062878342,genre_2,
2115,9781250047328,genre_2,
2116,9781524796747,genre_2,
2117,9781984823793,genre_2,thrillers (fiction)
2118,9780451489425,genre_2,
2119,9781984818232,genre_2,
2120,9781250317995,genre_2,
2121,9780812992861,genre_2,
2122,9781984803788,genre_2,
2123,9780062878090,genre_2,love stories
2124,9780062858085,genre_2,thrillers (fiction)
2125,9781501188770,genre_2,domestic fiction
2126,9780440000860,genre_2,
2127,9781250142863,genre_2,
2128,9781524744588,genre_2,
2129,9781250219657,genre_2,
2130,9781984802194,genre_2,
2131,9781982135669,genre_2,fiction
2132,9780062855312,genre_2,thrillers (fiction)
2133,9780062390011,genre_2,
2134,9780062692078,genre_2,
2135,9780525620754,genre_2,
2136,9781525834257,genre_2,
2137,9781524745141,genre_2,
2138,9780399563058,genre_2,
2139,9780451491879,genre_2,
2140,9780399182105,genre_2,
2141,9780385537070,genre_2,
2142,9780062872838,genre_2,romance fiction
2143,9781524759780,genre_2,thrillers (fiction)
2144,9781250174611,genre_2,noir fiction
2145,9781594634734,genre_2,
2146,9780525619246,genre_2,
2147,9781984802798,genre_2,
2148,9781984803252,genre_2,
2149,9781492689386,genre_2,
2150,9780778307747,genre_2,fiction
2151,9781501133480,genre_2,
2152,9781250126108,genre_2,
2153,9780425281291,genre_2,
2154,9780062839053,genre_2,
2155,9780062862822,genre_2,
2156,9781328974648,genre_2,
2157,9780451490827,genre_2,
2158,9781501128035,genre_2,
2159,9781250195524,genre_2,
